task,baseline_reward,baseline_exception,baseline_status,baseline_trial,baseline_result_path,with_metaharness_reward,with_metaharness_exception,with_metaharness_status,with_metaharness_trial,with_metaharness_result_path,counts_for_without_n,counts_for_m
cobol-modernization,1.0,,passed,cobol-modernization__jaM66zx,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-cobol-modernization-claude-code-k6/cobol-modernization__jaM66zx/result.json,,,not_run,,,True,False
code-from-image,1.0,,passed,code-from-image__9npVqSx,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-code-from-image-claude-code-k6/code-from-image__9npVqSx/result.json,,,not_run,,,True,False
compile-compcert,0.0,AgentTimeoutError,timeout_failure,compile-compcert__KaRQKQb,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-compile-compcert-claude-code-k6/compile-compcert__KaRQKQb/result.json,,,not_run,,,False,False
configure-git-webserver,0.0,,failed,configure-git-webserver__L3zL6Wm,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-configure-git-webserver-claude-code-k6/configure-git-webserver__L3zL6Wm/result.json,0.0,,failed,configure-git-webserver__TcPkHzp,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-configure-git-webserver-kimicode-with-metaharness-20260610T212420/configure-git-webserver__TcPkHzp/result.json,False,False
constraints-scheduling,1.0,,passed,constraints-scheduling__dQPru6v,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-constraints-scheduling-claude-code-k6/constraints-scheduling__dQPru6v/result.json,,,not_run,,,True,False
count-dataset-tokens,0.0,,failed,count-dataset-tokens__bMTDtbq,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-count-dataset-tokens-claude-code-k6/count-dataset-tokens__bMTDtbq/result.json,1.0,AgentTimeoutError,passed,count-dataset-tokens__syFscbp,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-count-dataset-tokens-kimicode-with-metaharness-20260610T214015/count-dataset-tokens__syFscbp/result.json,False,True
crack-7z-hash,,EnvironmentStartTimeoutError,invalid_or_missing,crack-7z-hash__nDyLXum,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-crack-7z-hash-claude-code-k6/crack-7z-hash__nDyLXum/result.json,,,not_run,,,False,False
custom-memory-heap-crash,1.0,,passed,custom-memory-heap-crash__aL4oUge,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-custom-memory-heap-crash-claude-code-k6/custom-memory-heap-crash__aL4oUge/result.json,,,not_run,,,True,False
db-wal-recovery,,EnvironmentStartTimeoutError,invalid_or_missing,db-wal-recovery__QuNbUNr,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-db-wal-recovery-claude-code-k6/db-wal-recovery__QuNbUNr/result.json,,,not_run,,,False,False
distribution-search,1.0,,passed,distribution-search__H4cnVnJ,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-distribution-search-claude-code-k6/distribution-search__H4cnVnJ/result.json,,,not_run,,,True,False
dna-assembly,0.0,AgentTimeoutError,timeout_failure,dna-assembly__JPpZjYb,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-dna-assembly-claude-code-k6/dna-assembly__JPpZjYb/result.json,,,not_run,,,False,False
dna-insert,0.0,,failed,dna-insert__sW3VReS,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-dna-insert-claude-code-k6/dna-insert__sW3VReS/result.json,0.0,,failed,dna-insert__5sUn5fD,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-dna-insert-kimicode-with-metaharness-20260610T215623/dna-insert__5sUn5fD/result.json,False,False
extract-elf,,EnvironmentStartTimeoutError,invalid_or_missing,extract-elf__6cSci76,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-extract-elf-claude-code-k6/extract-elf__6cSci76/result.json,,,not_run,,,False,False
extract-moves-from-video,0.0,AgentTimeoutError,timeout_failure,extract-moves-from-video__cBoC35d,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-extract-moves-from-video-claude-code-k6/extract-moves-from-video__cBoC35d/result.json,,,not_run,,,False,False
feal-differential-cryptanalysis,0.0,,failed,feal-differential-cryptanalysis__ULVpXrK,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-feal-differential-cryptanalysis-claude-code-k6/feal-differential-cryptanalysis__ULVpXrK/result.json,1.0,,passed,feal-differential-cryptanalysis__YKaaZke,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-feal-differential-cryptanalysis-kimicode-with-metaharness-20260610T233724/feal-differential-cryptanalysis__YKaaZke/result.json,False,True
feal-linear-cryptanalysis,1.0,,passed,feal-linear-cryptanalysis__gtueKG9,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-feal-linear-cryptanalysis-claude-code-k6/feal-linear-cryptanalysis__gtueKG9/result.json,,,not_run,,,True,False
filter-js-from-html,0.0,,failed,filter-js-from-html__UAWA7hS,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-filter-js-from-html-claude-code-k6/filter-js-from-html__UAWA7hS/result.json,0.0,,failed,filter-js-from-html__ZfjJFB7,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-filter-js-from-html-kimicode-with-metaharness-20260610T220723/filter-js-from-html__ZfjJFB7/result.json,False,False
financial-document-processor,1.0,,passed,financial-document-processor__fgTJdNh,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-financial-document-processor-claude-code-k6/financial-document-processor__fgTJdNh/result.json,,,not_run,,,True,False
fix-code-vulnerability,1.0,,passed,fix-code-vulnerability__ecc4q9s,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-fix-code-vulnerability-claude-code-k6/fix-code-vulnerability__ecc4q9s/result.json,,,not_run,,,True,False
fix-git,1.0,,passed,fix-git__Bdoo6Wh,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-fix-git-claude-code-k6/fix-git__Bdoo6Wh/result.json,,,not_run,,,True,False
fix-ocaml-gc,1.0,,passed,fix-ocaml-gc__gb3RfW6,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-fix-ocaml-gc-claude-code-k6/fix-ocaml-gc__gb3RfW6/result.json,,,not_run,,,True,False
gcode-to-text,0.0,,failed,gcode-to-text__sw2X5Tf,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-gcode-to-text-claude-code-k6/gcode-to-text__sw2X5Tf/result.json,0.0,AgentTimeoutError,timeout_failure,gcode-to-text__5avJ8q4,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-gcode-to-text-kimicode-with-metaharness-20260610T221801/gcode-to-text__5avJ8q4/result.json,False,False
git-leak-recovery,0.0,,failed,git-leak-recovery__QihhiXn,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-git-leak-recovery-claude-code-k6/git-leak-recovery__QihhiXn/result.json,,RewardFileNotFoundError,invalid_or_missing,git-leak-recovery__DgoaY7Z,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-git-leak-recovery-kimicode-with-metaharness-20260611T004727/git-leak-recovery__DgoaY7Z/result.json,False,False
git-multibranch,0.0,,failed,git-multibranch__H9PfVUF,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-git-multibranch-claude-code-k6/git-multibranch__H9PfVUF/result.json,,,not_run,,,False,False
gpt2-codegolf,,EnvironmentStartTimeoutError,invalid_or_missing,gpt2-codegolf__AYDTw9B,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-gpt2-codegolf-claude-code-k6/gpt2-codegolf__AYDTw9B/result.json,,,not_run,,,False,False
headless-terminal,0.0,,failed,headless-terminal__CeZyykm,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-headless-terminal-claude-code-k6/headless-terminal__CeZyykm/result.json,0.0,,failed,headless-terminal__KWjJ8Za,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-headless-terminal-kimicode-with-metaharness-nostop-20260610T185053/headless-terminal__KWjJ8Za/result.json,False,False
hf-model-inference,0.0,,failed,hf-model-inference__7eQnJtr,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-hf-model-inference-claude-code-k6/hf-model-inference__7eQnJtr/result.json,,,not_run,,,False,False
install-windows-3.11,,EnvironmentStartTimeoutError,invalid_or_missing,install-windows-3.11__P2VgUeT,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-install-windows-3.11-claude-code-k6/install-windows-3.11__P2VgUeT/result.json,,,not_run,,,False,False
kv-store-grpc,0.0,,failed,kv-store-grpc__L7ipooF,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-kv-store-grpc-claude-code-k6/kv-store-grpc__L7ipooF/result.json,1.0,,passed,kv-store-grpc__X93pMKy,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-kvgrpc-kimicode-with-metaharness-20260610T155642/kv-store-grpc__X93pMKy/result.json,False,True
large-scale-text-editing,0.0,,failed,large-scale-text-editing__UdzjZwm,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-large-scale-text-editing-claude-code-k6/large-scale-text-editing__UdzjZwm/result.json,,,not_run,,,False,False
largest-eigenval,0.0,AgentTimeoutError,timeout_failure,largest-eigenval__fPTqyqk,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-largest-eigenval-claude-code-k6/largest-eigenval__fPTqyqk/result.json,0.0,AgentTimeoutError,timeout_failure,largest-eigenval__nMajFeB,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-largest-eigenval-kimicode-with-metaharness-20260611T002356/largest-eigenval__nMajFeB/result.json,False,False
llm-inference-batching-scheduler,0.0,,failed,llm-inference-batching-scheduler__jydaPit,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-llm-inference-batching-scheduler-claude-code-k6/llm-inference-batching-scheduler__jydaPit/result.json,,,not_run,,,False,False
log-summary-date-ranges,1.0,,passed,log-summary-date-ranges__gU3UUC8,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-log-summary-date-ranges-claude-code-k6/log-summary-date-ranges__gU3UUC8/result.json,,,not_run,,,True,False
mailman,1.0,,passed,mailman__cenyer7,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-mailman-claude-code-k6/mailman__cenyer7/result.json,,,not_run,,,True,False
make-doom-for-mips,,RuntimeError,invalid_or_missing,make-doom-for-mips__BoZ2sES,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-make-doom-for-mips-claude-code-k6/make-doom-for-mips__BoZ2sES/result.json,,,not_run,,,False,False
make-mips-interpreter,,RuntimeError,invalid_or_missing,make-mips-interpreter__W2YnYtb,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-make-mips-interpreter-claude-code-k6/make-mips-interpreter__W2YnYtb/result.json,,,not_run,,,False,False
mcmc-sampling-stan,1.0,,passed,mcmc-sampling-stan__fpGMVrL,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-mcmc-sampling-stan-claude-code-k6/mcmc-sampling-stan__fpGMVrL/result.json,,,not_run,,,True,False
merge-diff-arc-agi-task,1.0,,passed,merge-diff-arc-agi-task__JzMwbqw,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-merge-diff-arc-agi-task-claude-code-k6/merge-diff-arc-agi-task__JzMwbqw/result.json,,,not_run,,,True,False
model-extraction-relu-logits,0.0,AgentTimeoutError,timeout_failure,model-extraction-relu-logits__X4QrKPQ,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-model-extraction-relu-logits-claude-code-k6/model-extraction-relu-logits__X4QrKPQ/result.json,,,not_run,,,False,False
modernize-scientific-stack,1.0,,passed,modernize-scientific-stack__PPvHyvz,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-modernize-scientific-stack-claude-code-k6/modernize-scientific-stack__PPvHyvz/result.json,,,not_run,,,True,False
mteb-leaderboard,0.0,,failed,mteb-leaderboard__uMsCfjK,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-mteb-leaderboard-claude-code-k6/mteb-leaderboard__uMsCfjK/result.json,,FileNotFoundError,invalid_or_missing,mteb-leaderboard__754VTrP,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-mteb-leaderboard-kimicode-with-metaharness-20260610T230525/mteb-leaderboard__754VTrP/result.json,False,False
mteb-retrieve,0.0,,failed,mteb-retrieve__CLHJLyT,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-mteb-retrieve-claude-code-k6/mteb-retrieve__CLHJLyT/result.json,,RuntimeError,invalid_or_missing,mteb-retrieve__A42zUrB,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-mteb-retrieve-kimicode-with-metaharness-20260611T120821/mteb-retrieve__A42zUrB/result.json,False,False
multi-source-data-merger,1.0,,passed,multi-source-data-merger__Fhag3XN,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-multi-source-data-merger-claude-code-k6/multi-source-data-merger__Fhag3XN/result.json,,,not_run,,,True,False
nginx-request-logging,0.0,,failed,nginx-request-logging__E2cQZLx,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-nginx-request-logging-claude-code-k6/nginx-request-logging__E2cQZLx/result.json,,,not_run,,,False,False
openssl-selfsigned-cert,0.0,,failed,openssl-selfsigned-cert__TqctTLL,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-openssl-selfsigned-cert-claude-code-k6/openssl-selfsigned-cert__TqctTLL/result.json,1.0,,passed,openssl-selfsigned-cert__CNeAhwi,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-openssl-kimicode-with-metaharness-20260610T1536/openssl-selfsigned-cert__CNeAhwi/result.json,False,True
overfull-hbox,0.0,AgentTimeoutError,timeout_failure,overfull-hbox__PEttn2h,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-overfull-hbox-claude-code-k6/overfull-hbox__PEttn2h/result.json,,,not_run,,,False,False
password-recovery,1.0,,passed,password-recovery__x5fA2A8,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-password-recovery-claude-code-k6/password-recovery__x5fA2A8/result.json,,,not_run,,,True,False
path-tracing,0.0,,failed,path-tracing__eiVp7au,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-path-tracing-claude-code-k6/path-tracing__eiVp7au/result.json,,,not_run,,,False,False
path-tracing-reverse,0.0,AgentTimeoutError,timeout_failure,path-tracing-reverse__kc9w5TZ,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-path-tracing-reverse-claude-code-k6/path-tracing-reverse__kc9w5TZ/result.json,,,not_run,,,False,False
polyglot-c-py,1.0,,passed,polyglot-c-py__2TVEbSe,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-polyglot-c-py-claude-code-k6/polyglot-c-py__2TVEbSe/result.json,,,not_run,,,True,False
polyglot-rust-c,0.0,AgentTimeoutError,timeout_failure,polyglot-rust-c__qyDKxNa,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-polyglot-rust-c-claude-code-k6/polyglot-rust-c__qyDKxNa/result.json,1.0,,passed,polyglot-rust-c__we6utdR,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-polyglot-rust-c-kimicode-with-metaharness-mhharbor-tmpcwd-20260611T131112/polyglot-rust-c__we6utdR/result.json,False,True
portfolio-optimization,1.0,,passed,portfolio-optimization__Svgt6Ep,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-portfolio-optimization-claude-code-k6/portfolio-optimization__Svgt6Ep/result.json,,,not_run,,,True,False
protein-assembly,0.0,AgentTimeoutError,timeout_failure,protein-assembly__jkDqaEE,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-protein-assembly-claude-code-k6/protein-assembly__jkDqaEE/result.json,,,not_run,,,False,False
prove-plus-comm,1.0,,passed,prove-plus-comm__xresmNY,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-prove-plus-comm-claude-code-k6/prove-plus-comm__xresmNY/result.json,,,not_run,,,True,False
pypi-server,0.0,,failed,pypi-server__Z6V6uhN,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-pypi-server-claude-code-k6/pypi-server__Z6V6uhN/result.json,0.0,,failed,pypi-server__LD72UyK,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-pypi-server-kimicode-with-metaharness-20260611T114127/pypi-server__LD72UyK/result.json,False,False
pytorch-model-cli,1.0,AgentTimeoutError,passed,pytorch-model-cli__icPejXj,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-pytorch-model-cli-claude-code-k6/pytorch-model-cli__icPejXj/result.json,,,not_run,,,True,False
pytorch-model-recovery,0.0,,failed,pytorch-model-recovery__jyzHhRy,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-pytorch-model-recovery-claude-code-k6/pytorch-model-recovery__jyzHhRy/result.json,,,not_run,,,False,False
qemu-alpine-ssh,0.0,AgentTimeoutError,timeout_failure,qemu-alpine-ssh__J4428uq,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-qemu-alpine-ssh-claude-code-k6/qemu-alpine-ssh__J4428uq/result.json,,,not_run,,,False,False
qemu-startup,1.0,,passed,qemu-startup__XnvxPvD,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-qemu-startup-claude-code-k6/qemu-startup__XnvxPvD/result.json,,,not_run,,,True,False
query-optimize,0.0,,failed,query-optimize__qSVU2Yu,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-query-optimize-claude-code-k6/query-optimize__qSVU2Yu/result.json,1.0,,passed,query-optimize__zDp5pa9,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-queryopt-kimicode-with-metaharness-stop-r2-20260610T174611/query-optimize__zDp5pa9/result.json,False,True
raman-fitting,0.0,,failed,raman-fitting__5ZfLrcZ,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-raman-fitting-claude-code-k6/raman-fitting__5ZfLrcZ/result.json,0.0,,failed,raman-fitting__wie6HBc,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-raman-fitting-kimicode-with-metaharness-20260610T232325/raman-fitting__wie6HBc/result.json,False,False
regex-chess,0.0,AgentTimeoutError,timeout_failure,regex-chess__fa4VT7w,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-regex-chess-claude-code-k6/regex-chess__fa4VT7w/result.json,,,not_run,,,False,False
regex-log,1.0,,passed,regex-log__eSDmKjt,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-regex-log-claude-code-k6/regex-log__eSDmKjt/result.json,,,not_run,,,True,False
reshard-c4-data,,RuntimeError,invalid_or_missing,reshard-c4-data__vGCyLsM,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-reshard-c4-data-claude-code-k6/reshard-c4-data__vGCyLsM/result.json,,,not_run,,,False,False
rstan-to-pystan,0.0,AgentTimeoutError,timeout_failure,rstan-to-pystan__MGcMmPo,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-rstan-to-pystan-claude-code-k6/rstan-to-pystan__MGcMmPo/result.json,,,not_run,,,False,False
sam-cell-seg,0.0,,failed,sam-cell-seg__vcmDyDm,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sam-cell-seg-claude-code-k6/sam-cell-seg__vcmDyDm/result.json,,,not_run,,,False,False
